,datasets/IR-Plag-Dataset/case-01/original/T1.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/03/Nomor1_2451041557A22145B3701B0184109CAB013.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/04/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/05/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/02/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/11/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/10/Main.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/07/Main.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/09/t01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/08/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/01/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/06/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/15/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/12/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/13/No1.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/14/Soal1.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L3/03/HelloWorld.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L3/04/hellow.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L3/05/Kasus1L3.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L3/02/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L3/01/L3.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L3/06/Level3.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L4/03/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L4/04/HelloWorld.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L4/05/hellow.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L4/02/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L4/01/L4.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L4/06/Level4.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L5/03/WelcomeToJava.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L5/04/hellow.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L5/05/PrintJava.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L5/02/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L5/01/L5.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L2/03/WelcomeToJava.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L2/04/hellow.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L2/05/PrintJava.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L2/02/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L2/01/L2.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/03/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/04/T1.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/05/HelloWorld.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/02/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/07/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/09/Level1.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/08/Kasus1L1.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/01/L1.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/06/HelloWorld.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/03/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/04/WelcomeToJava.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/05/HelloWorld.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/02/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/07/PrintJava.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/09/Level6.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/08/Kasus1L6.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/01/L6.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/06/hellow.java
datasets/IR-Plag-Dataset/case-01/original/T1.java,1.0,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.375,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.37209302325581395,0.4186046511627907,1.0,0.32,0.9583333333333334,1.0,0.625,1.0,1.0,1.0,0.5945945945945946,0.3469387755102041,0.5789473684210527,0.40476190476190477,0.5526315789473685,0.6153846153846154,0.37254901960784315,0.3953488372093023,0.3728813559322034,0.3333333333333333,0.22033898305084745,0.7241379310344828,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.32727272727272727,0.2537313432835821,0.16923076923076924,0.3103448275862069,0.3728813559322034,0.203125,0.3333333333333333,0.22033898305084745,0.3953488372093023
datasets/IR-Plag-Dataset/case-01/non-plagiarized/03/Nomor1_2451041557A22145B3701B0184109CAB013.java,0.4186046511627907,1.0,1.0,1.0,1.0,1.0,1.0,0.717391304347826,1.0,1.0,1.0,1.0,0.7560975609756098,1.0,0.4186046511627907,0.6458333333333334,0.3953488372093023,0.4186046511627907,0.32653061224489793,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.3333333333333333,0.2153846153846154,0.32727272727272727,0.3090909090909091,0.3090909090909091,0.3333333333333333,0.27692307692307694,0.21666666666666667,0.5932203389830508,0.7,0.5178571428571429,0.4,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.3953488372093023,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4098360655737705,0.22784810126582278,0.2361111111111111,0.2535211267605634,0.36231884057971014,0.18421052631578946,0.26865671641791045,0.2878787878787879,0.21666666666666667
datasets/IR-Plag-Dataset/case-01/non-plagiarized/04/T01.java,0.4186046511627907,1.0,1.0,1.0,1.0,1.0,1.0,0.717391304347826,1.0,1.0,1.0,1.0,0.7560975609756098,1.0,0.4186046511627907,0.6458333333333334,0.3953488372093023,0.4186046511627907,0.32653061224489793,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.3333333333333333,0.2153846153846154,0.32727272727272727,0.3090909090909091,0.3090909090909091,0.3333333333333333,0.27692307692307694,0.21666666666666667,0.5932203389830508,0.7,0.5178571428571429,0.4,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.3953488372093023,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4098360655737705,0.22784810126582278,0.2361111111111111,0.2535211267605634,0.36231884057971014,0.18421052631578946,0.26865671641791045,0.2878787878787879,0.21666666666666667
datasets/IR-Plag-Dataset/case-01/non-plagiarized/05/T01.java,0.4186046511627907,1.0,1.0,1.0,1.0,1.0,1.0,0.717391304347826,1.0,1.0,1.0,1.0,0.7560975609756098,1.0,0.4186046511627907,0.6458333333333334,0.3953488372093023,0.4186046511627907,0.32653061224489793,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.3333333333333333,0.2153846153846154,0.32727272727272727,0.3090909090909091,0.3090909090909091,0.3333333333333333,0.27692307692307694,0.21666666666666667,0.5932203389830508,0.7,0.5178571428571429,0.4,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.3953488372093023,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4098360655737705,0.22784810126582278,0.2361111111111111,0.2535211267605634,0.36231884057971014,0.18421052631578946,0.26865671641791045,0.2878787878787879,0.21666666666666667
datasets/IR-Plag-Dataset/case-01/non-plagiarized/02/T01.java,0.4186046511627907,1.0,1.0,1.0,1.0,1.0,1.0,0.717391304347826,1.0,1.0,1.0,1.0,0.7560975609756098,1.0,0.4186046511627907,0.6458333333333334,0.3953488372093023,0.4186046511627907,0.32653061224489793,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.3333333333333333,0.2153846153846154,0.32727272727272727,0.3090909090909091,0.3090909090909091,0.3333333333333333,0.27692307692307694,0.21666666666666667,0.5932203389830508,0.7,0.5178571428571429,0.4,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.3953488372093023,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4098360655737705,0.22784810126582278,0.2361111111111111,0.2535211267605634,0.36231884057971014,0.18421052631578946,0.26865671641791045,0.2878787878787879,0.21666666666666667
datasets/IR-Plag-Dataset/case-01/non-plagiarized/11/T01.java,0.4186046511627907,1.0,1.0,1.0,1.0,1.0,1.0,0.717391304347826,1.0,1.0,1.0,1.0,0.7560975609756098,1.0,0.4186046511627907,0.6458333333333334,0.3953488372093023,0.4186046511627907,0.32653061224489793,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.3333333333333333,0.2153846153846154,0.32727272727272727,0.3090909090909091,0.3090909090909091,0.3333333333333333,0.27692307692307694,0.21666666666666667,0.5932203389830508,0.7,0.5178571428571429,0.4,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.3953488372093023,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4098360655737705,0.22784810126582278,0.2361111111111111,0.2535211267605634,0.36231884057971014,0.18421052631578946,0.26865671641791045,0.2878787878787879,0.21666666666666667
datasets/IR-Plag-Dataset/case-01/non-plagiarized/10/Main.java,0.4186046511627907,1.0,1.0,1.0,1.0,1.0,1.0,0.717391304347826,1.0,1.0,1.0,1.0,0.7560975609756098,1.0,0.4186046511627907,0.6458333333333334,0.3953488372093023,0.4186046511627907,0.32653061224489793,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.3333333333333333,0.2153846153846154,0.32727272727272727,0.3090909090909091,0.3090909090909091,0.3333333333333333,0.27692307692307694,0.21666666666666667,0.5932203389830508,0.7,0.5178571428571429,0.4,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.3953488372093023,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4098360655737705,0.22784810126582278,0.2361111111111111,0.2535211267605634,0.36231884057971014,0.18421052631578946,0.26865671641791045,0.2878787878787879,0.21666666666666667
datasets/IR-Plag-Dataset/case-01/non-plagiarized/07/Main.java,0.375,0.717391304347826,0.717391304347826,0.717391304347826,0.717391304347826,0.717391304347826,0.717391304347826,1.0,0.717391304347826,0.717391304347826,0.717391304347826,0.717391304347826,0.54,0.717391304347826,0.375,0.47368421052631576,0.3541666666666667,0.375,0.42857142857142855,0.375,0.375,0.375,0.3050847457627119,0.2,0.3,0.2833333333333333,0.2833333333333333,0.42105263157894735,0.2571428571428571,0.2,0.5,0.5789473684210527,0.42857142857142855,0.36,0.375,0.375,0.375,0.375,0.375,0.375,0.3541666666666667,0.375,0.375,0.375,0.375,0.375,0.375,0.3382352941176471,0.21428571428571427,0.189873417721519,0.40298507462686567,0.3026315789473684,0.25,0.25,0.2328767123287671,0.2
datasets/IR-Plag-Dataset/case-01/non-plagiarized/09/t01.java,0.4186046511627907,1.0,1.0,1.0,1.0,1.0,1.0,0.717391304347826,1.0,1.0,1.0,1.0,0.7560975609756098,1.0,0.4186046511627907,0.6458333333333334,0.3953488372093023,0.4186046511627907,0.32653061224489793,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.3333333333333333,0.2153846153846154,0.32727272727272727,0.3090909090909091,0.3090909090909091,0.3333333333333333,0.27692307692307694,0.21666666666666667,0.5932203389830508,0.7,0.5178571428571429,0.4,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.3953488372093023,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4098360655737705,0.22784810126582278,0.2361111111111111,0.2535211267605634,0.36231884057971014,0.18421052631578946,0.26865671641791045,0.2878787878787879,0.21666666666666667
datasets/IR-Plag-Dataset/case-01/non-plagiarized/08/T01.java,0.4186046511627907,1.0,1.0,1.0,1.0,1.0,1.0,0.717391304347826,1.0,1.0,1.0,1.0,0.7560975609756098,1.0,0.4186046511627907,0.6458333333333334,0.3953488372093023,0.4186046511627907,0.32653061224489793,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.3333333333333333,0.2153846153846154,0.32727272727272727,0.3090909090909091,0.3090909090909091,0.3333333333333333,0.27692307692307694,0.21666666666666667,0.5932203389830508,0.7,0.5178571428571429,0.4,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.3953488372093023,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4098360655737705,0.22784810126582278,0.2361111111111111,0.2535211267605634,0.36231884057971014,0.18421052631578946,0.26865671641791045,0.2878787878787879,0.21666666666666667
