,datasets/IR-Plag-Dataset/case-02/original/T2.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/03/Nomor2_2451041557A22145B3701B0184109CAB013.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/04/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/05/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/02/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/11/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/10/Main.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/07/Main.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/09/t02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/08/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/01/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/06/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/15/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/12/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/13/No2.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/14/Soal2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/03/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/04/Kasus2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/05/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/02/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/07/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/09/Level3.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/08/Kasus2L3.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/01/L3.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/06/inout.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/03/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/04/Kasus2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/05/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/02/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/07/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/09/Level4.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/08/Kasus2L4.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/01/L4.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/06/inout.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/03/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/04/Kasus2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/05/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/02/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/07/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/09/Level5.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/08/Kasus2L5.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/01/L5.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/06/inout.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/03/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/04/Kasus2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/05/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/02/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/07/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/09/Level2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/08/Kasus2L2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/01/L2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/06/inout.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/03/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/04/Kasus2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/05/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/02/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/07/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/09/Level1.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/08/Kasus2L1.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/01/L1.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/06/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/03/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/04/Kasus2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/05/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/02/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/07/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/09/Level6.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/08/Kasus2L6.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/01/L6.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/06/inout.java
datasets/IR-Plag-Dataset/case-02/original/T2.java,1.0,0.98989898989899,0.8484848484848485,0.7272727272727273,0.8333333333333334,0.7457627118644068,0.9090909090909091,0.8979591836734694,0.7763713080168776,0.9556650246305419,0.9178743961352657,0.9607843137254902,0.9353233830845771,1.0,0.9353233830845771,0.70995670995671,0.8374384236453202,1.0,0.8712871287128713,0.8867924528301887,1.0,0.9411764705882353,0.7959183673469388,0.912621359223301,0.9353233830845771,0.7906976744186046,0.7192982456140351,0.6991150442477876,0.6844106463878327,0.6949152542372882,0.6949152542372882,0.6437768240343348,0.691358024691358,0.7563025210084033,0.7906976744186046,0.7922705314009661,0.6755555555555556,0.6104417670682731,0.602510460251046,0.8609865470852018,0.6206896551724138,0.7302904564315352,0.7563025210084033,1.0,0.8,0.9846153846153847,1.0,1.0,1.0,0.9795918367346939,0.9897959183673469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9797979797979798,1.0,0.7906976744186046,0.845360824742268,0.6320346320346321,0.6104417670682731,0.5901639344262295,0.7400881057268722,0.6343612334801763,0.6616541353383458,0.7659574468085106
datasets/IR-Plag-Dataset/case-02/non-plagiarized/03/Nomor2_2451041557A22145B3701B0184109CAB013.java,0.98989898989899,1.0,0.8412017167381974,0.6695278969957081,0.8247422680412371,0.7394957983193278,0.9,0.8888888888888888,0.7531380753138075,0.9658536585365853,0.9090909090909091,0.9514563106796117,0.9261083743842364,0.98989898989899,0.9261083743842364,0.703862660944206,0.8292682926829268,0.98989898989899,0.8627450980392157,0.8785046728971962,0.98989898989899,0.9320388349514563,0.7878787878787878,0.8269230769230769,0.9261083743842364,0.783410138248848,0.7130434782608696,0.6929824561403509,0.6415094339622641,0.6890756302521008,0.6890756302521008,0.6468085106382979,0.6938775510204082,0.7083333333333334,0.783410138248848,0.784688995215311,0.6696035242290749,0.6055776892430279,0.5975103734439834,0.8533333333333334,0.6153846153846154,0.6831275720164609,0.7083333333333334,0.98989898989899,0.8016877637130801,0.9746192893401016,0.98989898989899,0.98989898989899,0.98989898989899,0.8888888888888888,0.9797979797979798,0.98989898989899,0.98989898989899,0.98989898989899,0.98989898989899,0.98989898989899,0.98989898989899,0.98989898989899,0.98989898989899,0.97,0.98989898989899,0.783410138248848,0.8367346938775511,0.6266094420600858,0.6055776892430279,0.5853658536585366,0.7336244541484717,0.62882096069869,0.6194029850746269,0.7679324894514767
datasets/IR-Plag-Dataset/case-02/non-plagiarized/04/T02.java,0.8484848484848485,0.8412017167381974,1.0,0.6390977443609023,0.6431718061674009,0.9077490774907749,0.8412017167381974,0.7619047619047619,0.9264705882352942,0.8319327731092437,0.8181818181818182,0.8200836820083682,0.7966101694915254,0.8484848484848485,0.7966101694915254,0.7443609022556391,0.7142857142857143,0.8484848484848485,0.7510548523206751,0.7611336032388664,0.8484848484848485,0.803347280334728,0.7186147186147186,0.7883817427385892,0.7966101694915254,0.68,0.6692015209125475,0.6053639846743295,0.5838926174496645,0.6494464944649446,0.6568265682656826,0.5149253731343284,0.6115107913669064,0.6373626373626373,0.68,0.7272727272727273,0.5846153846153846,0.6549295774647887,0.6496350364963503,0.7441860465116279,0.5393258426966292,0.6739130434782609,0.6373626373626373,0.8484848484848485,0.674074074074074,0.8347826086956521,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8311688311688312,0.8398268398268398,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8412017167381974,0.8484848484848485,0.68,0.759825327510917,0.5488721804511278,0.6549295774647887,0.6379928315412187,0.7557251908396947,0.5572519083969466,0.6179401993355482,0.725925925925926
datasets/IR-Plag-Dataset/case-02/non-plagiarized/05/T02.java,0.7272727272727273,0.6695278969957081,0.6390977443609023,1.0,0.7312775330396476,0.7232472324723247,0.6866952789699571,0.6493506493506493,0.7205882352941176,0.6638655462184874,0.6115702479338843,0.7280334728033473,0.711864406779661,0.7272727272727273,0.711864406779661,0.7443609022556391,0.6302521008403361,0.7272727272727273,0.70042194092827,0.680161943319838,0.7272727272727273,0.702928870292887,0.6926406926406926,0.6556016597510373,0.711864406779661,0.6,0.6615969581749049,0.5134099616858238,0.5973154362416108,0.6715867158671587,0.6863468634686347,0.6865671641791045,0.5755395683453237,0.6959706959706959,0.6,0.71900826446281,0.5153846153846153,0.6619718309859155,0.6642335766423357,0.6589147286821705,0.599250936329588,0.5797101449275363,0.6959706959706959,0.7272727272727273,0.6592592592592592,0.7130434782608696,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.683982683982684,0.7186147186147186,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7811158798283262,0.7272727272727273,0.6,0.7248908296943232,0.48120300751879697,0.6619718309859155,0.6451612903225806,0.7175572519083969,0.5877862595419847,0.53156146179402,0.6814814814814815
datasets/IR-Plag-Dataset/case-02/non-plagiarized/02/T02.java,0.8333333333333334,0.8247422680412371,0.6431718061674009,0.7312775330396476,1.0,0.7241379310344828,0.7319587628865979,0.625,0.721030042918455,0.6934673366834171,0.7783251231527094,0.69,0.700507614213198,0.71875,0.700507614213198,0.8105726872246696,0.6030150753768844,0.71875,0.6767676767676768,0.6634615384615384,0.71875,0.69,0.7604166666666666,0.6732673267326733,0.700507614213198,0.5687203791469194,0.75,0.5315315315315315,0.6177606177606177,0.7586206896551724,0.7586206896551724,0.6375545851528385,0.5690376569037657,0.717948717948718,0.5687203791469194,0.8374384236453202,0.5339366515837104,0.6857142857142857,0.7489361702127659,0.6301369863013698,0.7105263157894737,0.5738396624472574,0.717948717948718,0.71875,0.6926406926406926,0.7015706806282722,0.71875,0.71875,0.71875,0.8541666666666666,0.7083333333333334,0.71875,0.71875,0.71875,0.71875,0.71875,0.71875,0.71875,0.71875,0.8247422680412371,0.71875,0.5687203791469194,0.9473684210526315,0.4933920704845815,0.6857142857142857,0.725,0.6636771300448431,0.7085201793721974,0.5190839694656488,0.7186147186147186
datasets/IR-Plag-Dataset/case-02/non-plagiarized/11/T02.java,0.7457627118644068,0.7394957983193278,0.9077490774907749,0.7232472324723247,0.7241379310344828,1.0,0.7563025210084033,0.6694915254237288,0.9314079422382672,0.7160493827160493,0.7125506072874493,0.7213114754098361,0.8049792531120332,0.7457627118644068,0.7302904564315352,0.6642066420664207,0.6502057613168725,0.7457627118644068,0.7520661157024794,0.746031746031746,0.7457627118644068,0.7704918032786885,0.6779661016949152,0.7723577235772358,0.7302904564315352,0.6352941176470588,0.6417910447761194,0.5488721804511278,0.6600660066006601,0.6231884057971014,0.6304347826086957,0.5934065934065934,0.6219081272084805,0.6762589928057554,0.6352941176470588,0.6963562753036437,0.5509433962264151,0.6920415224913494,0.6164874551971327,0.7072243346007605,0.49264705882352944,0.6405693950177936,0.6762589928057554,0.7457627118644068,0.6836363636363636,0.7319148936170212,0.7457627118644068,0.7457627118644068,0.7457627118644068,0.7457627118644068,0.7372881355932204,0.7457627118644068,0.7457627118644068,0.7457627118644068,0.7457627118644068,0.7457627118644068,0.7457627118644068,0.7457627118644068,0.7457627118644068,0.7899159663865546,0.7457627118644068,0.6352941176470588,0.7094017094017094,0.5166051660516605,0.6920415224913494,0.6056338028169014,0.7415730337078652,0.5168539325842697,0.5882352941176471,0.6836363636363636
datasets/IR-Plag-Dataset/case-02/non-plagiarized/10/Main.java,0.9090909090909091,0.9,0.8412017167381974,0.6866952789699571,0.7319587628865979,0.7563025210084033,1.0,0.8282828282828283,0.7698744769874477,0.8780487804878049,0.8325358851674641,0.8737864077669902,0.8669950738916257,0.9090909090909091,0.8669950738916257,0.6781115879828327,0.7707317073170732,0.9090909090909091,0.8529411764705882,0.822429906542056,0.9090909090909091,0.8640776699029126,0.8181818181818182,0.8365384615384616,0.8669950738916257,0.728110599078341,0.6173913043478261,0.6228070175438597,0.6490566037735849,0.5966386554621849,0.5966386554621849,0.6553191489361702,0.6938775510204082,0.7166666666666667,0.728110599078341,0.6889952153110048,0.6255506607929515,0.6135458167330677,0.6058091286307054,0.7911111111111111,0.5982905982905983,0.691358024691358,0.7166666666666667,0.9090909090909091,0.7426160337552743,0.8934010152284264,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.898989898989899,0.898989898989899,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.83,0.9090909090909091,0.728110599078341,0.8469387755102041,0.5836909871244635,0.6135458167330677,0.5934959349593496,0.74235807860262,0.6200873362445415,0.6268656716417911,0.6751054852320675
datasets/IR-Plag-Dataset/case-02/non-plagiarized/07/Main.java,0.8979591836734694,0.8888888888888888,0.7619047619047619,0.6493506493506493,0.625,0.6694915254237288,0.8282828282828283,1.0,0.6919831223628692,0.8571428571428571,0.821256038647343,0.8627450980392157,0.845771144278607,0.8979591836734694,0.8756218905472637,0.5887445887445888,0.9261083743842364,0.8979591836734694,0.8514851485148515,0.8113207547169812,0.8979591836734694,0.8529411764705882,0.8775510204081632,0.8349514563106796,0.8756218905472637,0.8744186046511628,0.5350877192982456,0.6460176991150443,0.623574144486692,0.5169491525423728,0.5169491525423728,0.7381974248927039,0.6748971193415638,0.7058823529411765,0.8744186046511628,0.5893719806763285,0.5866666666666667,0.5783132530120482,0.5104602510460251,0.7802690582959642,0.7155172413793104,0.6556016597510373,0.7058823529411765,0.8979591836734694,0.7148936170212766,0.882051282051282,0.8979591836734694,0.8979591836734694,0.8979591836734694,0.8877551020408163,0.8877551020408163,0.8979591836734694,0.8979591836734694,0.8979591836734694,0.8979591836734694,0.8979591836734694,0.8979591836734694,0.8979591836734694,0.8979591836734694,0.8787878787878788,0.8979591836734694,0.8744186046511628,0.7422680412371134,0.5714285714285714,0.5783132530120482,0.5,0.7048458149779736,0.7312775330396476,0.6090225563909775,0.7148936170212766
datasets/IR-Plag-Dataset/case-02/non-plagiarized/09/t02.java,0.7763713080168776,0.7531380753138075,0.9264705882352942,0.7205882352941176,0.721030042918455,0.9314079422382672,0.7698744769874477,0.6919831223628692,1.0,0.7459016393442623,0.7419354838709677,0.7836734693877551,0.7272727272727273,0.7763713080168776,0.7272727272727273,0.7279411764705882,0.6475409836065574,0.7763713080168776,0.6748971193415638,0.6956521739130435,0.7763713080168776,0.7346938775510204,0.6582278481012658,0.7368421052631579,0.7272727272727273,0.6328125,0.654275092936803,0.5318352059925093,0.618421052631579,0.6353790613718412,0.6425992779783394,0.5766423357664233,0.5845070422535211,0.6738351254480287,0.6328125,0.7096774193548387,0.5263157894736842,0.6413793103448275,0.6357142857142857,0.7121212121212122,0.5128205128205128,0.5815602836879432,0.6738351254480287,0.7763713080168776,0.7028985507246377,0.7627118644067796,0.7763713080168776,0.7763713080168776,0.7763713080168776,0.759493670886076,0.7679324894514767,0.7763713080168776,0.7763713080168776,0.7763713080168776,0.7763713080168776,0.7763713080168776,0.7763713080168776,0.7763713080168776,0.7763713080168776,0.8200836820083682,0.7763713080168776,0.6328125,0.723404255319149,0.49264705882352944,0.6413793103448275,0.624561403508772,0.6865671641791045,0.5223880597014925,0.5342019543973942,0.6521739130434783
datasets/IR-Plag-Dataset/case-02/non-plagiarized/08/T02.java,0.9556650246305419,0.9658536585365853,0.8319327731092437,0.6638655462184874,0.6934673366834171,0.7160493827160493,0.8780487804878049,0.8571428571428571,0.7459016393442623,1.0,0.8785046728971962,0.9383886255924171,0.8942307692307693,0.9556650246305419,0.8942307692307693,0.6890756302521008,0.8,0.9556650246305419,0.8133971291866029,0.8493150684931506,0.9556650246305419,0.9004739336492891,0.7783251231527094,0.7981220657276995,0.8942307692307693,0.7567567567567568,0.6978723404255319,0.6781115879828327,0.6666666666666666,0.6748971193415638,0.6748971193415638,0.6333333333333333,0.696,0.7346938775510204,0.7567567567567568,0.7663551401869159,0.6551724137931034,0.59375,0.5934959349593496,0.8434782608695652,0.6527196652719666,0.7096774193548387,0.7346938775510204,0.9556650246305419,0.768595041322314,0.9405940594059405,0.9556650246305419,0.9556650246305419,0.9556650246305419,0.8571428571428571,0.9458128078817734,0.9556650246305419,0.9556650246305419,0.9556650246305419,0.9556650246305419,0.9556650246305419,0.9556650246305419,0.9556650246305419,0.9556650246305419,0.9365853658536586,0.9556650246305419,0.7567567567567568,0.8159203980099502,0.7394957983193278,0.59375,0.5976095617529881,0.7264957264957265,0.6666666666666666,0.6446886446886447,0.7851239669421488
